DEFI,40 Defiant,L
DELF,Delfin,L
DFL6,DFL-6 Saphir,L
DFLY,Dragonfly,L
DG15,Nightingale,L
DG1T,DG-1000T,L
DG40,DG-400,L
DG50,DG-500M,L
DG60,DG-600M,L
DG80,DG-800,L
DH2T,DHC-2 Mk3 Turbo Beaver,L
DH3T,DHC-3 Turbo Otter,L
DH60,DH-60 Moth,L
DH80,DH-80 Puss Moth,L
DH82,DH-82 Tiger Moth,L
DH83,DH-83 Fox Moth,L
DH85,DH-85 Leopard Moth,L
DH87,DH-87 Hornet Moth,L
DH88,DH-88 Comet Replica,L
DH89,DH-89 Dragon Rapide,L
DH8A,DHC-8-100 Dash 8,M
DH8B,DHC-8-200 Dash 8,M
DH8C,DHC-8-300 Dash 8,M
DH8D,DHC-8-400 Dash 8,M
DH90,DH-90 Dragonfly,L
DH94,DH-94 Moth Minor,L
DHA3,DHA-3 Drover,L
DHC1,DHC-1 Chipmunk,L
DHC3,DHC-3 Otter,L
DHC4,DHC-4 Caribou,M
DHC5,DHC-5 Buffalo,M
DHC6,DHC-6 Twin Otter,L
DHC7,DHC-7 Dash 7,M
DIES,Dieselis,L
DIJ3,Dijkhastar 3,L
DIJ4,Dijkhastar 4,L
DIMO,HK-36 Super Dimona,L
DINO,GAK-22 Dinó,L
DIPR,Dipper,L
DISC,Discus BM,L
DJET,D-Jet,L
DJIN,SO-1221 Djinn,L
DNGO,Dingo,L
DO27,Do-27,L
DO28,Do-28,L
DOCX,ES-3 Doc's RX,L
DON,Don,L
DOVE,DH-104 Dove,L
DR1,Dr-1,L
DR10,DR-100 Ambassadeur,L
DR22,DR-221 Dauphin,L
DR30,DR-300,L
DR40,DR-400,L
DRAG,Dragon Fly,L
DRIF,Drifter,L
DRTG,G,L
DSA1,DSA-1 Miniplane,L
DSK,Golden Hawk,L
DSLK,Skylark,L
DUB2,2 Osa,L
DUCE,Duce,L
DUOD,Duo Discus T,L
DUR5,Mk5,L
DV20,DV-20 Katana,L
DW1,DW-1 Eagle,L
DWD2,D-26,L
DYH2,H-2,L
E110,EMB-110 Bandeirante,L
E120,EMB-120 Brasilia,M
E121,EMB-121 Xingu,L
E135,EMB-135 Legacy 600,M
E145,EMB-145,M
E170,ERJ-170,M
E190,ERJ-190 Lineage 1000,M
E2,E-2 Hawkeye,M
E200,EA-200,L
E230,EA-230,L
E2CB,E-2 Cub,L
E300,EA-300,L
E314,EMB-314 Super Tucano,L
E3CF,E-3F Sentry,H
E3TF,Sentry (TF33),H
E400,EA-400,L
E45X,ERJ-145XR,M
E500,EA-500,L
E50P,EMB-500 Phenom 100,L
E55P,EMB-505 Phenom 300,L
E6,E-6 Mercury,H
E737,737-700 Wedgetail,M
E767,E-767,H
EA50,Eclipse 500,L
EAEA,Easy Eagle,L
EAGL,Eagle,L
EAGT,American Eaglet,L
EAGX,Eagle X-TS,L
EC20,EC-120 Colibri,L
EC25,EC-225 Super Puma Mk2+,M
EC30,EC-130,L
EC35,EC-135,L
EC45,EC-145,L
EC55,EC-155,L
EC6,EC-6 Criquet,L
ECHO,P-92 Echo,L
EDGE,Edge 540,L
EFOX,Eurofox,L
EGRT,D-500 Egrett 2,L
EH10,EH-101,M
EL20,IE-202,L
ELA7,ELA-07,L
ELF,Elf,L
ELIT,Epic Elite,L
ELPS,Ellipse,L
ELST,Elster,L
ELTO,El Tomcat,L
ELTR,IE-101 Elitar,L
EM10,EM-10 Bielik,L
EM11,EM-11 Orka,L
EN28,F-28,L
EN48,TH-28,L
EP9,EP-9,L
EPER,Epervier,L
EPIC,Epic Dynasty,L
ERAC,E-Racer,L
ERCO,415 Ercoupe,L
ES11,ES-101 Raven,L
ES13,Spad 13 80%,L
ESCA,Epic Escape,L
ESCP,Escapade,L
ESQL,Esqualo,L
ETAR,Super Etendard,M
EUFI,Eurofighter 2000,M
EUPA,Europa,L
EURT,Eurotrainer 2000,L
EVAN,4500 Evangel,L
EVIC,Epic Victory,L
EVOL,Evolution,L
EVSS,SportStar,L
EX5T,Explorer 500T,L
EXEC,Exec,L
EXEJ,JetExec,L
EXPL,MD-902 Explorer,L
EXPR,Express,L
EZFL,E-Z Flyer,L
EZFT,Twin E-Z Flyer,L
EZHV,E-Z Harvard,L
EZKC,E-Z King Cobra,L
F1,F-1,M
F104,F-104 Starfighter,M
F106,QF-106 Delta Dart,M
F111,F-111 Aardvark,M
F117,F-117 Nighthawk,M
F14,F-14 Tomcat,M
F15,F-15 Eagle,M
F156,MS-500 Criquet,L
F16,Fighting Falcon (F-16A/B/C/D/N),M
F16X,F-16XL Fighting Falcon,M
F18,FA-18 Hornet,M
F2,F-2,M
F22,F-22 Raptor,M
F260,SF-260,L
F26T,SF-260TP,L
F27,F-27 Friendship,M
F28,F-28 Fellowship,M
F2TH,Falcon 2000,M
F35,Lightning II (F-35A/C),M
F3F,F3F Replica,L
F4,F-4 Phantom 2,M
F406,F406 Caravan 2,L
F5,F-5 Tiger 2,M
F50,50,M
F5SA,F-5 Saeghe,M
F60,60,M
F600,SF-600 Canguro,L
F70,70,M
F8,F8 Crusader,M
F86,F-86 Sabre,M
F8L,F-8L Falco,L
F900,Falcon 900,M
F9F,F9F Panther,L
FA01,FA-01 Saphir,L
FA02,FA-02 Smaragd VLA,L
FA10,Falcon 10,M
FA11,F-11 Husky,L
FA20,Falcon 20,M
FA24,F-24 Argus,L
FA50,Falcon 50,M
FA62,Cornell,L
FA7X,Falcon 7X,M
FAET,321 Faeta,L
FALC,Falcon XP,L
FALM,M-3 Falcon Major,L
FANL,FL-1 Fanliner,L
FANT,Fantrainer,L
FB1A,Fly Baby 1A,L
FB1B,Fly Baby 1B,L
FB5,FB-5 Star Light,L
FBA2,FBA-2 Bush Hawk,L
FBIR,Freebird Mk5,L
FC1,FC-1 Xiaolong,M
FDCT,CT,L
FE51,P-51,L
FEST,Festival,L
FFLY,Firefly,L
FG01,FG-01 Origan,L
FGT,Formula GT,L
FH11,FH-1100,L
FIBO,Firebolt Convertible,L
FIKD,D,L
FIKE,E,L
FINC,Finch,L
FJ10,FJ-100,L
FJR3,F-3,L
FK12,FK-12 Comet,L
FK14,FK-14 Polaris,L
FK9,FK-9,L
FL3,L-3 Aviastarlet,L
FL53,FL-53,L
FL54,FL-54,L
FL55,FL-55,L
FLAM,Flamant,L
FLE2,2,L
FLE7,7 Fawn,L
FLIZ,Flitzer,L
FLSH,Flash,L
FN33,FN-333 Riviera,L
FNKB,B,L
FOOF,JD-2 Foo Fighter,L
FORT,60 Fort,L
FOUG,CM-170R Magister,L
FOX,Kitfox,L
FOXT,Foxtrot-4,L
FREE,RC-412 Free Spirit,L
FREL,SA-321 Super Frelon,M
FRON,Frontier MD-2,L
FS51,SAL P-51D Mustang,L
FT30,FT-300,L
FU24,FU-24,L
FURY,Fury,L
FW19,192,L
FW21,FX-210,L
FW44,Fw-44 Stieglitz,L
FW90,Fw-190,L
